Name,Owner Name,Village,Taluka,District,Mobile,GSTIN,Opening Balance,Rating
"GIRISH BOPCHE",""," NANSARI (MUNDIPAR)","AMGAON","GONDIA","8788708653","","-20700.03","A"
"GIRJA KK SONARTOLA (SALEKASA)","","","","","9823941606","","63000","B"
"GONDIA FPC K.K KALPATHRI (GOREGAON)","","","","","9270159777","","6950","C"
"GOOGLE KK PARASWADA (TIRORA)","","","","","9284022648","","8601","A+"
"GOPAL KK KALPATHRI","","","","","9923861680","","0","A"
"Gurudeo Madavi","","","","","","","0","B"
"GURUKRUPA KK TIRODA","","","","","9404001653","","11300","B"
"GURUKRUPA KRUSHI KENDRA THANA","","","","","7507099102","","33500","A"
"GURVESH K.K DHAMANGAON (KIKRIPAR)","","","","","9511702767","","0","B"
"GURVESH TRADER K.K DHAMANGAON (KIKRIPAR)","","","","","","","4730","B"
"HALDHAR KK AMGAON","","","","","9373689680","","0","D"
"HARINKHEDE DM (BORI BHANEGAON), MP","","","","","","","62833","B"
"HARINKHEDE KRUSHI KENDRA CHUTIYA","","","","","","","0","D"
"HARSH KK BUDI BANJARI (C.G)","","","","","91318854843","","36000","C"
"HATTIMARE K.K MOHGAON (KALIMATI)","","","","","9309184592","","5000","A"
"HIMALAYA KK GOREGAON","","","","","9422134563","","-1480","A+"
"HINDUSTAN AGRO KUDWA (GONDIA)","","","","","9422902941","","26800","A+"
"IRUYAG KRUSHIKENDRA PARSODI SOUNDAD","","","","","7499746860","","95969.5","B"
"JAI AMBE KRUSHI KENDRA SAWRI (RAWANWADI)","","","","","9823797203","","0","A"
"JAI AMBE KRUSHI KENDRA SONI (GOREGAON)","","","","","9527449845","","0","C"
"JAI BAJRANG KRUSHI KENDRA DAHEGAON","","","","","9923946097","","0","C"
"JAI BHARAT K.K AMGAON","","","","","","","0","B"
"JAI BHOLE KRUSHI KENDRA KATANGTOLA","","","","","9271884969","","0","A"
"JAI DURGA KK ADASI-TANDA","","","","","8421835011","","0","A"
"JAI DURGA KRUSHI KENDRA AMGAON","","","","","","","0","A"
"JAI FULE KK LALBARRA (M.P)","","","","","","","0","C"
"JAI KISAN KK TIRORA","","","","","","","7600","C"
"JAI KISAN KRUSHI KENDRA BANATHER","","","","","8308318351","","3250","A"
"JAI LAXMI KRUSHI KENDRA PARASWADA","","","","","","","131199","D"
"JAI MAA SHARDA KK BIRSOLA","","","","","","","0","B"
"JAI MAHESH K.K ARJUNI (TIRORA)","","","","","9326681192","","0","A+"
"JAI MATA DI KK PATHRI (KURHADI)","","","","","7972440657","","1500","A"
"JAITWAR KRUSHI KENDRA SALEKASA","","","","","7744007801","","13600","B"
"JAMBHURKAR KRUSHI KENDRA KAKODI","","","","","","","0","D"
"JAY KISAN KRUSHI KENDRA KURHADI","","","","","9823134382","","15417.5","B"
"JHANGEL KRUSHI KENDRA DHIMRINKUA (C.G)","","","","","","","0","D"
"JHANGEL KRUSHI KENDRA PAHLIMETA C.G","","","","","","","0","D"
"KABIR K.K DHAPEWADA","","","","","9752072441","","6500","A"
"KAMLESH KK SAHARWANI (GONDIA)","","","","","7030557704","","61720","B"
"KANAK KK MAHAGAON (M.ARJUNI)","","","","","8788662670","","78000","B"
"KANHIYA KK MOHGAON BUJRUG (GOREGAON)","","","","","","","0","D"
"KANHIYA KRUSHI KENDRA TIGAON","","","","","","","770","D"
"KAPGATE KRUSHI KENDRA SADAK ARJUNI","","","","","9422937435","","102888.89","B"
"Kartik","","","","","","","0","B"
"KARTIK KK KARANJA (GONDIA)","","","","","9529394272","","9900","B"
"KASTKAR KK NAVEGAON - DHAPEWADA","","","","","","","0","D"
"KASTKAR KRUSHI KENDRA AMGAON","","","","","9975612662","","24883","D"
"Kastura Bai","","","","","","","0","B"
"KATREJI PIPERTOLA (GANESH BISEN)","","","","","","","0","D"
"KHANDELWAL KK AMBAGARH CHOWKI (CG)","","","","","","","0","A"
"KHETIBADI KK TEMNHI (KATANGI)","","Katangi","Gondia","Gondia","8412940012","","-21000","B"
"KISAN AGRO & KK DEORI","","","","","9423384543","","0","A"
"KISAN KRUSHI KENDRA GIDHADI","","","","","","","11344","C"
"KISAN KRUSHI KENDRA IRAIKALA (C.G)","","","","","","","0","D"
"KISAN KRUSHI KENDRA JHALIA (KAWRABANDH)","","","","","","","0","D"
"Kishor Bhadmare","","","","","","","0","B"
"KRISHNA KK KAMARGAON (GOREGAON)","","","","","8080941213","","0","A"
"KRUSHONATI SHETKARI PRO. CO. LTD. KAKODI","","","","","","","0","B"
"KULDIP BORKAR SEONI (HATTA)","","","","","","","0","B"
"KURANJEKAR KRUSHI KENDRA AMGAON","","","","","","","0","D"
"LALIT RAHANGDALE AMGAON","","","","","","","0","D"
"LALITA KK CHOPA","","","","","9307258042","","0","B"
"LAVANYA KK ANJORA","","","","","9823848225","","3158","D"
"LILHARE K.K KAMTHA","","","","","9373144155","","87300","B"
"MAA ADISHAKTI K.K MUNDIPAR","","","","","8275398165","","48630","B"
"MAA BHAGWATI K.K BOPESAR (TIRORA)","","","","","7875314224","","1500","C"
"MAA DANTESHWARI KRUSHI KENDRA AMGAON","","","","","","","0","C"
"MAA GAYATRI KK GIROLA (KAMTHA)","","","","","8390988138","","0","C"
"MAA GAYATRI KK MENDHA (TIRORA)","","","","","8698136606","","14350","C"
"MAA SANTOSHI K.K PATHANTOLA (SALEKASA)","","","","","9764286243","","10275","A"
"MAA SHARDA KK NAVEGAON (KOTJAMURA)","","","","","9404152286","","75140","D"
"MACHIRKE KK DAREKASA","","","","","9404308386","","44281","A"
"MAHADEO K.K JHANZIA (GOREGAON)","","","","","8668385622","","24050","C"
"MAHAVIR KRUSHI KENDRA GONDUMRI","","","","","","","0","C"
"MAHENDRA KK HETITOLA (GUDMA)","","","","","9284484875","","5000","D"
"MAHESH KRUSHI KENDRA HIRDAMALI","","","","","9421977574","","0","D"
"MAHESHORE KRUSHI KENDRE KINNI (LANJI)","","","","","","","0","D"
"MAMTA K.K DONGARGAON (DEORI)","","","","","9284579281","","90750","A"
"MANGAL KK CHILATI (GOREGAON)","","","","","","","2750","B"
"MANGAL KRUSHI KENDRA AMGAON","","","","","","","0","D"
"MANGAL KRUSHI KENDRA CHILATI","","","","","8830748378","","0","D"
"MANKAR KRUSHI KENDRA PANCHWATI MHASGAON","","","","","8275338226","","8890","D"
"MANKAR KRUSHI KENDRA, KHAMARI","","","","","","","14420","D"
"MANOJ K.K (OWARA) DEORI","","","","","","","0","B"
"MARATHA KK KUNBITOLA SALEKASA","","","","","9011814778","","95300","A"
"MATE KRUSHI KENDRA RAJEGAON","","","","","","","11688","D"
"MATOSHRI KK KARDI (TIRODA)","","","","","","","1450","B"
"MATOSHRI KK KARTI (TIRODA)","","","","","9552221134","","0","B"
"MATOSHRI KRUSHI KENDRA GOWARITOLA","","","","","","","0","D"
"MATOSHRI KRUSHI KENDRA GOWARITOLA-TEDHA","","","","","","","9329","B"
"MATOSHRI KRUSHI KENDRA MURPAR (SA)","","","","","","","0","B"
"MEERA KK GOREGAON","","","","","","","8150","D"
"MENDHE K.K SUPLIPAR (KALIMATI)","","","","","9834706159","","43500","A"
"MENDHE KK CHIDCHADBANDH","","","","","8459938138","","65175","B"
"MENDHE KK IRRITOLA (KAMTHA)","","","","","7498250647","","26350","A+"
"MENDHE KRUSHI KENDRA TEDHA","","","","","9823877588","","21225","A"
"MESHRAM KRUSHI KENDRA BORGAON","","","","","","","0","D"
"Modku Bhau","","","","","","","0","B"
"MOHARE KRUSHI KENDRA GOWARITOLA","","","","","9158981127","","12250","B"
"MUKESH CHAUHAN KK SADAK ARJUNI","","","","","","","0","D"
"MURKUTE KRUSHI KENDRA PALDONGRI (LANJI)","","","","","","","0","D"
"NAGPURE KK BIRSI PHATA (TIRORA)","","","","","9767978827","","38450","D"
"NAGPURE KK MUNDIPAR (SALEKASA)","","","","","","","0","C"
"NAGPURE KK TIRORA","","","","","9370817043","","2500","A"
"NAGPURE KRUSHI KENDRA NAGRA","","","","","9764909098","","25340","A"
"NAGPURE KRUSHI KENDRA RAWANWADI","","","","","8275291005","","36367","D"
"NAGPURE KRUSHI KENDRA TUMKHEDA","","","","","9623915395","","0","A"
"Naresh Driver","","","","","","","0","B"
"NAVDURGA KK GOREGAON","","","","","8805571321","","0","A+"
"NEW CHAUHAN KK ADASI","","","","","9637968881","","0","B"
"NIDHI KK BRAMHANTOLA SALEKASA","","","","","","","2585","C"
"NIKESH KRUSHI KENDRA KODSIVNI SDAK ARJNI","","","","","8412871487","","72962","A"
"NIRMAL KRUSHI KENDRA KIDANGIPAR","","","","","","","0","D"
"NITIN KK ASOLI","","","","","","","0","D"
"NITIN KK ASOLI (GONDIA)","","","","","","","36705","B"
"NIVESH KK CHICHGARH","","","","","8155388383","","21000","B"
"OM HARI KK CHIDCHANDBANDH","","","","","7020634854","","26900","D"
"OM SAI KRUSHI KENDRA BOTE","","","","","9175575096","","1860","D"
"OM SAI KRUSHI KENDRA MUNDIPAR","","","","","","","65950","A"
"PANCHSHEEL KRUSHI KENDRA SONI","","","","","9049764847","","17065","D"
"PARDESI K.K KAWRABANDH","","","","","9158527049","","8800","D"
"PARMARJI FARM HOUSE GONDIA","","","","","9823245135","","2140","A"
"PARMATMA EK KK KAWRABANDH","","","","","9823247180","","18550","A"
"PARMATMA EK KRUSHI KENDRA SURTOLI","","","","","","","0","D"
"PATEL KK KHURSIPAR","","","","","","","0","D"
"PATEL KRUSHI CHIDHCHADBANDH","","","","","8788548037","","35650","A+"
"PATHODE KK GORTHA","","","","","8625813623","","54000","B"
"PATLE KK KHARA (KIRNAPUR M.P)","","","","","","","15050","B"
"PATLE KRUSHI KENDRA BINORA (KIRNAPUR)","","","","","8319938806","","7450","D"
"PATLE KRUSHI KENDRA CHILATI","","","","","9284376734","","27995","D"
"PATLE KRUSHI KENDRA PATHERGAON","","","","","","","0","D"
"PATLE KRUSHI KENDRA SASAKARANTOLA","","","","","8788548037","","0","A+"
"PATLE KRUSHI KENDRA VARAD","","","","","","","0","B"
"PISSEY KRUSHI KENDRA GOREGAON","","","","","9545989888","","73409","B"
"PONGEJHERA FARMER KURADI (GONDIA)","","","","","7798563727","","37350","D"
"POWANKAR KRUSHI KENDRA AMGAON","","","","","","","0","D"
"POWANKAR KRUSHI KENDRA KALIMATI","","","","","","","0","D"
"PRADHAN KK SADAK ARJUNI","","","","","","","0","B"
"PRATIK KRUSHI KENDRA PADAMPUR","","","","","","","0","D"
"PREM KRUSHI KENDRA DEORI","","","","","","","25190","B"
"PUJA KK KORCHI","","","","","9423423852","","0","A"
"PUJA KRUSHI KENDRA BHAJEPAR","","","","","9834324862","","1625","A"
"RADHIKA KRUSHI KENDRA DEORI","","","","","9822051691","","51100","A+"
"RAHANGDALE KRUSHI KENDRA SARKARTOLA","","","","","","","1744","D"
"RAHUL KK CHIREKHANI (TIRORA)","","","","","8669010547","","3470","A+"
"RAHUL KK KIRNAPUR (PATALEJI )","","","","","","","16250","D"
"RAJ KK HARDOLI (SAKRITOLA)","","","","","8975955670","","67000","B"
"RAJESH JI BHAKTWARTI NANSARI","","","","","9307366974","","6324","D"
"RAJLAXMI KRUSHI KENDRA AMGAON","","","","","","","0","B"
"RATNAKAR KRUSHI KENDRA KAWRABANDH","","","","","8887734007","","50260","B"
"RAUT KK SAKRITOLA","","","","","","","0","D"
"RENUKA KK KHAMKHURA (A. MOREGAON)","","","","","8830375359","","9000","A"
"ROSHAN KK MAHAGAON (M. ARJUNI)","","","","","9766962546","","55000","A+"
"RUPALI KK SONI","","","","","8888502735","","940","B"
"SAGAR KK FULCHUR","","","","","","","6225","D"
"SAHARE KRUSHI KENDRA MUNDIPAR (NANSARI)","","","","","8329510246","","28260","B"
"SAI BABA KRUSHI KENDRA AMGAON","","","","","","","0","A"
"SAI KK CHURDI (TIRORA)","","","","","","","14450","B"
"SAI RAM KK MAHALGAON (TIRORA)","","","","","8788698045","","17000","A"
"SAIBABA KRUSHI KENDRA DASGAON","","","","","7350164016","","12570","A+"
"SAMYAK KRUSHI KENDRA KINNI DASGAON","","","","","","","0","D"
"Sanjay","","","","","","","0","B"
"SANJAY HARINKHEDE KK ACC.","","","","","","","-3500","B"
"SANJAYJI THAKUR CHILATI","","","","","","","4000","D"
"SANJEEVNI KRUSHI KENDRA THAKURTOLA C.G","","","","","","","0","D"
"SANTOSHI KRUSHI KENDRA PINDKEPAR","","","","","","","0","D"
"SARASWATI KRUSHI KENDRA RAWANWADI","","","","","9168306230","","0","A+"
"Sarita Bai","","","","","","","0","B"
"SATYAM KRUSHI KENDRA NARMADA C.G","","","","","","","0","D"
"SAWJI KK RAJEGAON","","","","","7828557367","","54600","D"
"SEWA KRUSHI KENDRA BAMNI SALEKASA","","","","","7350086313","","68921","A"
"SHAKTI KRUSHI KENDRA PANJRA","","","","","8007829015","","14250","D"
"SHARDA KRUSHI KENDRA KATANGI (NAGRA)","","","","","7447317012","","51000","A"
"SHENDE KRUSHI KENDRA BHOSA","","","","","9604367499","","4535","D"
"SHETKARI KK BHADUTOLA (KARANJA-GONDIA)","","","","","","","31950","D"
"SHETKARI KK DHEMARTOLI (GONDIA)","","","","","","","0","D"
"SHETKARI KRUSHI KENDRA SOUNDAD","","","","","9403217718","","127350","A"
"SHETKARI KRUSHI KENDRA THANA","","","","","9923913279","","0","C"
"SHETKARI RAJA KK BOREGAON (KURHADI)","","","","","8010953143","","1320","A"
"SHITAL KRUSHI KENDRA GANUTOLA CHICHGARH","","","","","9420556516","","5000","A+"
"SHIV KRUSHI KENDRA BHORAMPUR (C.G)","","","","","","","0","D"
"SHIV KRUSHI KENDRA CHIRAMANTOLA","","","","","","","0","D"
"SHIVAM KK SUKDI","","","","","","","0","D"
"SHIVAM KRUSHI KENDRA TILLI MOHGAON","","","","","","","0","C"
"SHIVSHAKTI SEWA KK KOKNA NAVEGAON ROAD","","","","","","","0","D"
"SHRADDHA KK GHATTEMNI (KAMTHA)","","","","","","","46375","B"
"SHRAWAN KK DEVUTOLA/ PANCHWATI","","","","","9158860756","","28745","B"
"SHRI GANESH KK KHOLGADH","","","","","8888734007","","1450","A"
"SHRI KALANTRI FARM HOUSE POULDOWNA","","","","","","","6737.7","B"
"SHRI KK JHALIA (SALEKASA)","","","","","8975127969","","39375","A"
"SHRI KK SAKRITOLA","","","","","","","0","D"
"SHRI KRISHNA KRUSHI KENDRA MUNDIPAR","","","","","","","4250","A"
"SHRI SAI KK MUNDIPAR (SALEKASA)","","","","","8007584751","","52835","A"
"SHRI SAI KK SALEKASA ROAD AMGAON","","","","","9096443663","","28016","D"
"SHRI SAI KK TEMHANI (NAGRA)","","","","","9673371182","","75000","B"
"SHRI TRISHA KK TELANKHEDI (GOREGAON)","","","","","9404430235","","20475","B"
"SHUBHAM KK GOND MOHADI","","","","","7263909163","","78200","A+"
"SHUBHAM KK GOREGAON","","","","","","","0","D"
"SHUBHAM KK KHURSIPAR","","","","","","","0","D"
"SHUBHAM PATLE.CHICHGAON ABC","","","","","","","0","D"
"SHUBHLAKSHMI K.K SARKARTOLA","","","","","","","-86100","B"
"SHYAM KK DAUNEWADA","","","","","","","0","A"
"SHYAMA SHYAM KK BADEGAON (TIRORA)","","","","","","","0","D"
"SHYAMBABA KRUSHI KENDRA THANA","","","","","","","41808","D"
"SINGANDHUPE KK MAHARITOLA","","","","","7620606427","","0","B"
"Sona Bai","","","","","","","0","B"
"SONWANE KRUSHI KENDRA KIKRIPAR","","","","","","","0","D"
"SUKHDEO PATLE  (DM)","","","","","7828083628","","0","D"
"Sukhdeo Yetre","","","","","","","0","B"
"SULAKHE KRUSHI KENDRA PANDHRABODI","","","","","","","0","D"
"SUMAN KK GOREGAON","","","","","7972568637","","7050","B"
"SUMAN KK KATTIPAR","","","","","9923487449","","0","A"
"Suresh ","","","","","","","0","B"
"TAJ KRUSHI KENDRA KIRNAPUR (M.P)","","","","","9753528796","","25500","B"
"TAKSH KK BHADANGA (GOREGAON)","","","","","8767981352","","18000","B"
"TANISHQ K.K MUNDIPAR (GOREGAON)","","","","","9145384588","","17450","D"
"TEMBHRE KK KARTI (TIRODA)","","","","","","","55525","B"
"TEMBHRE KK SONI","","","","","","","0","D"
"TEMBHREJI KHURSIPAR (PATEL SAHEB)","","","","","8329954808","","0","D"
"THAKRE KK BORI, MAHAGAON (A. MOREGAON)","","","","","","","0","A"
"THAKUR K.K SONEKHARI (SALEKASA)","","","","","9552888632","","0","A"
"TOMAR KK BADEGAON (KIRNAPUR)","","","","","","","0","D"
"TRIPATHI KK GENDA TOLA (C.G)","","","","","7999413128","","0","A+"
"TRIVENI KK MAHAGAON (A. MOREGAON)","","","","","9834725316","","3000","A+"
"TUSHAR K.K DANDEGAON (GONDIA)","","","","","9765701651","","-1650","A+"
"UNNATI KRUSHI KENDRA ASOLI","","","","","","","2100","D"
"UPRADE KK PANGAON (SALEKASA)","","","","","","","21650","B"
"UPRADE KRUSHI KENDRA AMGAON","","","","","9049701077","","1015","C"
"UPRADE KRUSHI KENDRA MUNDIPAR","","","","","","","0","D"
"UPRADE KRUSHI KENDRA PANGAON (SALEKASA)","","","","","9049701077","","0","A+"
"URJA KRUSHI KENDRA AMGAON","","","","","","","19950","D"
"Urmila Bai","","","","","","","0","B"
"VAINGANGA KK MUNDIKOTA (TIRORA)","","","","","","","0","A+"
"VAIRAGADE KRUSHI KENDRA NANSARI","","","","","","","0","D"
"VANJARI K.K KARANJI (KALIMATI)","","","","","7498156239","","0","B"
"VIDHARBH KK AMGAON","","","","","","","1625","A"
"VIJAY K.K NANVAH (SALEKASA)","","","","","8308471602","","1050","A"
"VIKTU BABA K.K KATTIPAR","","","","","9049922840","","86000","B"
"VIMAL KRUSHI KENDRA KATI","","","","","","","0","D"
"YASH K.K SITEPAR","","","","","9552637593","","0","A"
"YEDE KRUSHI KENDRA GATRA","","","","","","","0","A"
"YEWALKAR KRUSHI KENDRA SOUNDAD","","","","","","","0","D"
"YOGESH SHENDE (ASOLI) DM","","","","","","","0","D"
"YUGAL KK GARDA (SUKDI TIRORA)","","","","","8787791924","","5550","B"
"YUVRAJJI VYAPARI BAJARTOLA (LANJI)","","","","","7247377476","9424439045","0","D"
